Table,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Imports,Israel,Imports of goods and services (% of GDP),32.7224665685867,34.6737153111774,34.2210872990312,37.7899661895852,39.6214728806267,39.455656577766,40.2431134253197,38.3287296823781,30.0557943344633,32.2817473560596,34.8970775888715,35.42222356895,31.4074330316471,30.2902296429207,28.0410510889648,28.0890266646028,27.3181280592463,29.0210438235117,27.0479404528965,23.2076915737833
Imports,"Korea, Rep.",Imports of goods and services (% of GDP),30.4360561697363,28.5802849932838,29.7767640156921,33.2613784169595,33.0417282278992,35.0254549142976,36.4823455972789,47.8744672251696,40.9482674584271,44.2958595844342,52.2285816810148,51.3642764025061,46.6600338441855,42.7830210318588,36.142932861381,33.4711585544775,36.1867108656532,37.2755746703469,36.4812778978581,32.6744545418102
Imports,Norway,Imports of goods and services (% of GDP),28.1731503253957,27.0481317269179,26.6484411318303,27.561806430542,27.0273910798849,27.1226062095286,28.9844731786724,28.5671790354044,27.6541657375953,28.0891902856851,27.9374674591422,27.2114879845743,28.11148305928,29.4097051783555,31.8566678050453,33.1786709712824,32.3765167676115,31.7821685011468,34.2548952066717,33.1436412615645
Imports,Romania,Imports of goods and services (% of GDP),29.8226275519331,29.6972184551935,31.9667919982326,34.8825424019048,34.8253288429032,36.9123994274755,38.7943276239508,39.0194700376745,32.4492215401029,38.1594388531735,40.8742083023035,40.7877139150902,41.1542758907535,41.9002225224272,42.1716790383073,43.4769272415812,44.8218377287421,44.9289230084585,44.3028663616078,41.1825487998703
Imports,Switzerland,Imports of goods and services (% of GDP),45.8371414069759,43.2222096993316,42.6147776748653,44.2171091602357,48.4069981103808,49.6359695603829,51.7790432182933,53.6486814547979,51.7663155605071,55.2274952612351,59.1063495101378,58.6764874108381,61.6254947939219,54.8761532535459,53.3095264649732,56.7481985878047,57.2733173133041,56.950318222608,57.1622185006251,57.8586240138035
Imports,United States,Imports of goods and services (% of GDP),13.2637338366067,13.1549925956457,13.5916543236323,14.8193121829029,15.65649830011,16.3338916290247,16.5482275199969,17.4419484298585,13.8273105496213,15.8785344260197,17.2790190876841,17.0377859689502,16.4242927670279,16.4520404415866,15.3512403383458,14.6474606283054,15.0174229040067,15.2493900563462,14.5794793588956,13.1816361351266
Trade Balance,Australia,Trade balance (% of GDP),0.0860098232,0.0042326139,-2.0882179261,-2.6861351057,-2.7135143784,-1.8536315802,-1.6421265037,-2.5500507568,0.2805129152,-0.9217671242,1.0322877208,-0.1680469492,-1.3034836362,-0.2789946434,-1.486966405,-2.2783188078,0.5110221125,0.3572601193,2.4763525159,3.783131958
Trade Balance,France,Trade balance (% of GDP),1.5724223118,1.9900757575,1.426104426,1.0126647649,0.0853953072,-0.2333142692,-0.7142415626,-1.1583131732,-0.7913564295,-1.2911914013,-1.9479014696,-1.2960047951,-1.0345793408,-1.1454275235,-0.5664491783,-0.6050680153,-1.0645809192,-1.0106181764,-0.9573623615,-1.9633676106
Trade Balance,Israel,Trade balance (% of GDP),-2.3221689212,-2.8218827332,-0.7313284468,0.0738013672,-0.1099885264,0.1776510905,-0.8715726222,-0.5597362975,2.4861738835,1.8768288155,-0.1377517599,-0.1086866698,1.8293424129,1.5832594768,3.1301979366,1.8659332207,1.9241278115,0.8728702777,2.2505381979,4.4679939042
Trade Balance,"Korea, Rep.",Trade balance (% of GDP),1.3516848785,1.1924694164,1.6210732476,3.4929580318,2.2413545678,0.6009637018,0.9098340932,-0.2325820156,4.2370844529,2.8078773263,1.1091502193,2.7297749327,4.6320372655,5.0483998344,6.8466286663,6.6614923566,4.7474960753,4.4377161727,2.7945831695,3.6851360073
Trade Balance,Norway,Trade balance (% of GDP),16.8120032578,13.4207506337,13.0238686776,13.5483409139,16.4146683311,17.4147175274,13.9730799509,17.6509218633,12.155983985,12.0611387871,13.7237987152,14.0755768698,11.7498264751,10.3179668642,6.7185209299,2.7595004549,4.3557482269,6.4388587872,2.386030114,-0.9333034818
Trade Balance,Romania,Trade balance (% of GDP),-7.716664082718100,-5.684189096449400,-7.754056949440800,-9.138606136868800,-10.290108236750900,-12.1411729284351,-14.0834985744358,-12.864125419156200,-6.425609311381000,-6.485646068938900,-5.605809776614000,-5.036194483964800,-0.9069306046568000,-0.4217371101746960,-0.8221953014525030,-1.0598758383676000,-2.4875187833255100,-3.3871757158530000,-4.1026716999692,-4.305984220746500
Trade Balance,Switzerland,Trade balance (% of GDP),4.3655550712,5.3374314654,5.1059407596,7.0828761384,5.4471759211,6.9732156642,9.7737713319,9.4806372379,6.243353478,9.6101327469,7.3435741396,9.1008856428,10.4427188266,10.4611168681,10.5194292889,10.069527338,9.0751729757,10.5278678806,9.8031751792,6.4484078622
Trade Balance,United States,Trade balance (% of GDP),-3.5602863376,-4.0236110818,-4.555995641,-5.1905621015,-5.6744435686,-5.6925051607,-5.0844373577,-5.0161010652,-2.8950899303,-3.5371736174,-3.7155519342,-3.3937365722,-2.8462183929,-2.9060811031,-2.8902471742,-2.7079218961,-2.755684786,-2.8884008406,-2.707009244,-2.9795103925
GDP,Australia,GDP (current US$),379357823192.53,395573025330.447,467497961560.862,614326362213.686,695305000206.729,747907432136.598,854427259166.209,1055686110665.53,928629769751.884,1148569537284.62,1398456161407.85,1546952690139.99,1576329690003.93,1467589901175.46,1350580336316.75,1206562910556.58,1326467487376.42,1428266513154.48,1392218527563.26,1326944627876.87
GDP,France,GDP (current US$),1377657339291.34,1501409382971.38,1844544792036.86,2119633181634.37,2196945232435.8,2320536221304.7,2660591246211.77,2930303780828.12,2700887366932.03,2645187882116.73,2865157541994.19,2683671716967.19,2811876903329.05,2855964488590.14,2439188643162.5,2472964344587.23,2595151045197.67,2790956878746.61,2728870246705.83,2639008701648.21
GDP,Israel,GDP (current US$),134637422752.725,125059962957.686,131298954868.837,139973668874.271,147083996033.603,158670160184.179,184052885585.912,220529762562.362,211968128528.444,238364092298.023,266791854430.897,262282344091.849,297732778479.129,314330061977.263,303414276832.04,322102790386.835,358245427458.541,376691526553.276,402470513619.148,413267669231.522
GDP,"Korea, Rep.",GDP (current US$),547658231279.87,627246081417.004,702717332012.991,793175007858.066,934901101762.491,1053216892422.02,1172614134912.05,1047339041903.85,943941876218.743,1144066965324.49,1253223044718.99,1278427634342.59,1370795199976.18,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,1644312785467.12
GDP,Norway,GDP (current US$),174240242224.618,195915371987.697,229384929368.922,265267350723.204,309978579743.888,346913357588.358,402645550184.816,464917553191.489,387974344023.324,431052143940.438,501360549669.404,512777309840.997,526014468085.106,501736471832.848,388159512245.53,370956547619.048,401745275035.261,439788625883.8,408742840909.091,367633418886.627
GDP,Romania,GDP (current US$),40395114264.7811,46065502702.5817,57806382692.2057,74973660680.522,98454374488.2926,122023721512.528,174588782938.583,214317174116.581,174102268534.84,170029359010.667,192613558645.612,179132893143.417,189789277576.061,199713780259.318,177883897811.434,185287615324.922,210147181055.277,243316050520.725,251017797625.017,251362534092.315
GDP,Switzerland,GDP (current US$),286580125206.282,309299934075.77,362088305988.747,403914244451.966,418292704114.275,441619409123.416,490754683815.144,567273005013.434,554191679308.884,598851028906.58,715888126682.396,686420221557.99,706234937370.968,726537808338.0,694118186379.628,687895460902.713,695200833086.499,725562534363.895,721369112726.724,739913619797.445
GDP,United States,GDP (current US$),10581929774000.0,10929112955000.0,11456442041000.0,12217193198000.0,13039199193000.0,13815586948000.0,14474226905000.0,14769857911000.0,14478064934000.0,15048964444000.0,15599728123000.0,16253972230000.0,16843190993000.0,17550680174000.0,18206020741000.0,18695110842000.0,19477336549000.0,20533057312000.0,21380976119000.0,21060473613000.0
Consumption,Australia,Taxes on goods and services (current LCU),46516000000.0,50037000000.0,55207000000.0,58176000000.0,60523000000.0,63722000000.0,66728000000.0,70880000000.0,70121000000.0,74182000000.0,77407000000.0,78152000000.0,86713000000.0,91660000000.0,84991000000.0,89412000000.0,92606000000.0,98174000000.0,100093000000.0,98478000000.0
Consumption,France,Taxes on goods and services (current LCU),165495000000.0,170737000000.0,173773000000.0,178072000000.0,182603000000.0,189088000000.0,191535000000.0,189998000000.0,182689000000.0,189329000000.0,195945000000.0,200466000000.0,205806000000.0,210648000000.0,216894000000.0,221278000000.0,232445000000.0,239562000000.0,247091000000.0,231614000000.0
Consumption,Israel,Taxes on goods and services (current LCU),61056140000.0,66865300000.0,67362584112.9744,70743665956.3737,74723301982.2407,78555400000.0,85312228210.3113,88500786413.9429,91675811926.3,103071196806.825,109651835637.577,112496700765.307,123342503638.354,132849454972.2,137568101621.9,143082928176.731,142758917030.5,148660505714.0,153122590607.807,148716242752.882
Consumption,"Korea, Rep.",Taxes on goods and services (current LCU),45615491000000.0,50083118000000.0,52512747000000.0,53101860000000.0,55771200000000.0,57521900000000.0,63303331000000.0,65847080000000.0,67030321000000.0,74702494000000.0,75798085000000.0,86543100000000.0,85012000000000.0,86772281564906.0,88352814003310.0,99360141855856.0,105370123497602.0,111336653688500.0,108042347972102.0,107264536897229.0
Consumption,Norway,Taxes on goods and services (current LCU),202501000000.0,204518000000.0,206261000000.0,222260000000.0,238836000000.0,263621000000.0,286644000000.0,284414000000.0,284051000000.0,304918000000.0,316569000000.0,330053000000.0,344277000000.0,357341000000.0,368671000000.0,385576000000.0,403185000000.0,420616000000.0,428384000000.0,429604000000.0
Consumption,Romania,Taxes on goods and services (current LCU),11751900000.0,15867900000.0,21658600000.0,25808500000.0,33447600000.0,39185700000.0,48167500000.0,57398700000.0,50954000000.0,58989100000.0,69159600000.0,74514400000.0,77280100000.0,79803700000.0,89640600000.0,81692300000.0,83631600000.0,94380300000.0,106691300000.0,104404200000.0
Consumption,Switzerland,Taxes on goods and services (current LCU),29032553295.61,27971252367.02,28452490254.6,29587471422.24,30218227024.22,31563287141.86,32626169062.78,33810606946.15,32974306574.74,34653085466.67,35309566160.01,35225227176.94,35627227988.95,35762368065.59,35941967918.99,35693288494.16,36927188155.52,36633988243.05,36549016372.69,36201035682.55
Consumption,United States,Taxes on goods and services (current LCU),64647200000.0,66886000000.0,68749300000.0,71980500000.0,74076400000.0,72560600000.0,65832100000.0,64744500000.0,68302900000.0,68176900000.0,76732000000.0,81661400000.0,90009400000.0,98929400000.0,102196400000.0,98963400000.0,93003400000.0,110542400000.0,97050400000.0,87205400000.0
International,Australia,Taxes on international trade (current LCU),4606000000.0,5214000000.0,5580000000.0,5631000000.0,5560000000.0,5001000000.0,5659000000.0,6081000000.0,6289000000.0,5762000000.0,5839000000.0,7117000000.0,8181000000.0,9290000000.0,10896000000.0,14057000000.0,14208000000.0,15690000000.0,15944000000.0,19507000000.0
International,France,Taxes on international trade (current LCU),7000000.0,5000000.0,-5000000.0,-11000000.0,73000000.0,-254000000.0,-98000000.0,-109000000.0,-97000000.0,-108000000.0,-17000000.0,-126000000.0,-38000000.0,-116000000.0,-120000000.0,-113000000.0,-127000000.0,-127000000.0,-118000000.0,31000000.0
International,Israel,Taxes on international trade (current LCU),1353000000.0,1398000000.0,1393800000.0,1594000000.0,1761000000.0,1894000000.0,2215000000.0,2375000000.0,2402000000.0,2689000000.0,2911000000.0,2543000000.0,2298000000.0,2776000000.0,2870000000.0,3289000000.0,3010000000.0,2785000000.0,3016000000.0,2875000000.0
International,"Korea, Rep.",Taxes on international trade (current LCU),5923381000000.0,6601288000000.0,6847339000000.0,6796491000000.0,6317700000000.0,6858400000000.0,7410763000000.0,8775691000000.0,9169127000000.0,10666286000000.0,10990142000000.0,9609260000000.0,10838500000000.0,8704537034362.0,8516295489322.0,8155892379763.0,8615889407231.0,8349650908766.0,7700956092436.0,7117375634977.0
International,Norway,Taxes on international trade (current LCU),1763000000.0,1607000000.0,1560000000.0,1574000000.0,1618000000.0,1787000000.0,2132000000.0,2288000000.0,2248000000.0,2550000000.0,2573000000.0,2602000000.0,3059000000.0,3186000000.0,3246000000.0,3359000000.0,3372000000.0,3385000000.0,3493000000.0,3660000000.0
International,Romania,Taxes on international trade (current LCU),957400000.0,1005300000.0,1378500000.0,1756200000.0,2193600000.0,2624700000.0,63800000.0,55400000.0,48700000.0,25900000.0,9700000.0,96200000.0,15900000.0,900000.0,2600000.0,4400000.0,46800000.0,57100000.0,68500000.0,51500000.0
International,Switzerland,Taxes on international trade (current LCU),1066670873.0,1091451233.0,1089804286.0,1054211980.0,974058189.0,1027449594.0,1040330743.0,1017108007.0,1033402040.11,1079416235.92,1046326040.58,1043845066.37,1059339198.9,1068410877.25,1055710601.95,1134339485.16,1102681685.33,1103429699.22,1142771849.57,1186807361.33
International,United States,Taxes on international trade (current LCU),20636000000.0,19938000000.0,21458100000.0,23282900000.0,25334900000.0,26687000000.0,28793000000.0,29243100000.0,23081000000.0,28603000000.0,31891000000.0,33503000000.0,35468000000.0,37363100000.0,38123000000.0,37534000000.0,38513000000.0,53284000000.0,77751600000.0,68626700000.0
Import Duties,Australia,Customs and other import duties (% of tax revenue),2.61935227046547,2.9270921635444,2.85567881939996,2.68208555767056,2.42176621313114,2.03578541809514,2.15589356516956,2.12564040607786,2.25932565824999,2.15201105208181,2.02159653400951,2.24385899533227,2.422453044963,2.64976300611044,3.06395628710655,3.80391657707088,3.65350861390063,3.67065627310244,3.49831710410258,4.3581614711448
Import Duties,France,Customs and other import duties (% of tax revenue),0.0019468997012899,0.0013953657113993,-0.0013863741602038,-0.002912665062053,0.0185411893792003,-0.0608715657892214,-0.0228189294662233,-0.0248615508133605,-0.0241975518064595,-0.0246564646739068,-0.0037856519338,-0.0267730221429892,-0.007732708747525,-0.0232971023224801,-0.0235300576878581,-0.0219290585253581,-0.0233962083404719,-0.0222326869515135,-0.019746376205282,0.0054283302806271
Import Duties,Israel,Customs and other import duties (% of tax revenue),0.922443248775581,0.947414753850058,0.965653522759938,1.05679535154114,1.08603143908248,1.0582578193184,1.15787189562776,1.2892006116247,1.34722729684918,1.36616604918608,1.36725827458753,1.15809525487751,0.947587822186421,1.08000244568431,1.0550109095807,1.15384914320221,0.962882889447356,0.907268063726609,0.950623102310606,0.922532187743156
Import Duties,"Korea, Rep.",Customs and other import duties (% of tax revenue),6.18353337964161,6.34936060948125,5.97164393590569,5.76972528558268,4.95639219021274,4.96826018893935,4.58986950269679,5.24529396706,5.57252863722852,6.00179233044287,5.71268897411526,4.73985981561956,5.29816054083912,4.20610749456051,3.90360805824064,3.35088760087206,3.23829205364284,2.83124924205688,2.63266717095053,2.46774371240864
Import Duties,Norway,Customs and other import duties (% of tax revenue),0.432150210804981,0.378637047997606,0.371299500649774,0.322236575693863,0.287267039391803,0.27890280541574,0.304794324186486,0.298480810966732,0.336187224568309,0.344303492262141,0.309872253581162,0.301635417836159,0.372882803271329,0.402574314137653,0.443729643107149,0.460329128019723,0.423776293638225,0.374776633126656,0.378638168303531,0.454536186870918
Import Duties,Romania,Customs and other import duties (% of tax revenue),4.63479837346744,3.73423821699684,3.78507837211143,3.82004231980069,4.08627557414607,3.97182512460213,0.0733952818084169,0.0576075644691551,0.0579655807781201,0.0260923761267292,0.0087047095446151,0.0899688908402475,0.014173409435925,0.0006666927788005,0.0019287662127636,0.0034187210719866,0.0352571322240395,0.0413933689417796,0.044223677550641,0.034034915196887
Import Duties,Switzerland,Customs and other import duties (% of tax revenue),2.45860023997799,2.52806364012962,2.48954431088958,2.32685296621149,2.04920555795299,2.01819348501849,1.94803009688444,1.72671735781563,1.8330766647452,1.84570950919978,1.76555594400357,1.7687389215328,1.74830785465236,1.76634789031161,1.65378860223393,1.77938549032857,1.60092521038228,1.60475747761293,1.60903075011032,1.82310213850515
Import Duties,United States,Customs and other import duties (% of tax revenue),1.6445990787663,1.84870237560759,1.99454379833432,1.99816943104321,1.81897458968266,1.70784929764242,1.76197980121137,1.92670368040455,2.01708240971479,2.21956350886429,2.14314424010581,2.11105791581502,2.0086563415418,1.94716349542298,1.86479299393902,1.83953216071612,1.70695796007155,2.59648788028711,3.65077057611777,3.21506422075169
